,Species,Host
0,Halorubrum phage HF2,Unknown
1,Halovirus HF1,Unknown
2,Thermus virus OH3,Thermus thermophilus HB8
3,Pectinobacterium virus PEAT2,Unknown
4,Streptococcus phage D1811,Streptococcus
5,Streptococcus phage D4276,Streptococcus
6,Mycobacterium virus TA17a,Mycolicibacterium smegmatis MC2 155
7,Bacillus virus PBS1,Bacillus subtilis
8,Xanthomonas virus Xf109,Xanthomonas oryzae ATCC 35933
9,Stenotrophomonas virus SMA6,Stenotrophomonas maltophilia
10,Enterobacter virus F20,Klebsiella aerogenes
11,Mycobacterium virus I3,Unknown
12,Escherichia virus BF23,Escherichia coli
13,Ralstonia virus RSM3,Ralstonia
14,Salmonella virus UAB87,Salmonella enterica subsp. enterica
15,Pseudomonas virus phiKZ,Unknown
16,Pseudomonas virus PRD1,Enterobacterales
17,Xanthomonas virus Xop411,Xanthomonas oryzae
18,Escherichia virus MS2,Enterobacterales
19,Mycobacterium virus Backyardigan,Mycolicibacterium smegmatis MC2 155
20,Mycobacterium virus Gladiator,Mycolicibacterium smegmatis MC2 155
21,Mycobacterium virus JHC117,Mycolicibacterium smegmatis MC2 155
22,Mycobacterium virus Microwolf,Mycolicibacterium smegmatis MC2 155
23,Mycobacterium virus George,Mycolicibacterium smegmatis MC2 155
24,Mycobacterium virus Joedirt,Mycolicibacterium smegmatis MC2 155
25,Mycobacterium virus Packman,Mycolicibacterium smegmatis MC2 155
26,Mycobacterium virus Rockyhorror,Mycolicibacterium smegmatis MC2 155
27,Mycobacterium virus Baka,Mycolicibacterium smegmatis MC2 155
28,Mycobacterium virus Dlane,Mycolicibacterium smegmatis MC2 155
29,Mycobacterium virus Hammer,Mycolicibacterium smegmatis MC2 155
30,Mycobacterium virus Ibhubesi,Mycolicibacterium smegmatis MC2 155
31,Mycobacterium virus JC27,Mycolicibacterium smegmatis MC2 155
32,Mycobacterium virus Lesedi,Mycolicibacterium smegmatis MC2 155
33,Mycobacterium virus Littlee,Mycolicibacterium smegmatis MC2 155
34,Mycobacterium virus Mozy,Mycolicibacterium smegmatis MC2 155
35,Mycobacterium virus Museum,Mycolicibacterium smegmatis MC2 155
36,Mycobacterium virus Pixie,Mycolicibacterium smegmatis MC2 155
37,Mycobacterium virus Kssjeb,Mycolicibacterium smegmatis MC2 155
38,Mycobacterium virus BBPiebs31,Mycolicibacterium smegmatis MC2 155
39,Mycobacterium virus Heldan,Mycolicibacterium smegmatis MC2 155
40,Mycobacterium virus Mrgordo,Mycolicibacterium smegmatis MC2 155
41,Mycobacterium virus Ericb,Mycolicibacterium smegmatis MC2 155
42,Mycobacterium virus Benedict,Mycolicibacterium smegmatis MC2 155
43,Mycobacterium virus Jaws,Mycolicibacterium smegmatis MC2 155
44,Mycobacterium virus Cuco,Mycolicibacterium smegmatis MC2 155
45,Mycobacterium virus Jeffabunny,Mycolicibacterium smegmatis MC2 155
46,Mycobacterium virus Saintus,Mycolicibacterium smegmatis MC2 155
47,Mycobacterium virus Dotproduct,Mycolicibacterium smegmatis MC2 155
48,Mycobacterium virus Astro,Mycolicibacterium smegmatis MC2 155
49,Mycobacterium virus Macncheese,Mycolicibacterium smegmatis MC2 155
50,Mycobacterium virus Arturo,Mycolicibacterium smegmatis MC2 155
51,Mycobacterium virus Goose,Mycolicibacterium smegmatis MC2 155
52,Mycobacterium virus Rebeuca,Mycolicibacterium smegmatis MC2 155
53,Pseudomonas virus H66,Pseudomonas aeruginosa
54,Pseudomonas virus PaP4,Pseudomonas aeruginosa
55,Xylella virus Sano,Xylella fastidiosa
56,Xylella virus Salvo,Xylella fastidiosa
57,Salmonella virus BTP1,Salmonella enterica
58,Salinibacter virus M1EM1,Salinibacter ruber
59,Salinibacter virus M8CC19,Salinibacter ruber M8
60,Salinibacter virus M8CR30-2,Salinibacter ruber M8
61,Salinibacter virus M8CRM1,Salinibacter ruber M8
62,Salinibacter virus M31CR41-2,Salinibacter ruber
63,Salinibacter virus SRUTV1,Unknown
64,Corynebacterium virus phi673,Corynebacterium glutamicum
65,Corynebacterium virus phi674,Corynebacterium glutamicum
66,Bacillus virus BM15,Bacillus megaterium
67,Corynebacterium virus Poushou,Corynebacterium vitaeruminis
68,Xanthomonas virus f20,Xanthomonas arboricola
69,Xanthomonas virus f30,Xanthomonas arboricola
70,Campylobacter virus IBB35,Unknown
71,Bacillus virus SPG24,Bacillus subtilis
72,Mycobacterium virus Optimus,Mycolicibacterium smegmatis MC2 155
73,Flavobacterium virus FCV1,Flavobacterium columnare
74,Mycobacterium virus Bask21,Mycolicibacterium smegmatis MC2 155
75,Mycobacterium virus Mutaforma13,Mycolicibacterium smegmatis MC2 155
76,Escherichia virus P2,Escherichia coli O157:H43 str. T22
77,Streptomyces virus ELB20,Streptomyces sp.
78,Mycobacterium virus Eureka,Mycolicibacterium smegmatis MC2 155
79,Pseudomonas virus FHA0480,Unknown
80,Mycobacterium virus Nepal,Mycolicibacterium smegmatis MC2 155
81,Mycobacterium virus Marcell,Mycolicibacterium smegmatis MC2 155
82,Pectobacterium virus fM1,Pectobacterium atrosepticum SCRI1043
83,Mycobacterium virus Dorothy,Mycolicibacterium smegmatis MC2 155
84,Streptomyces virus phiCAM,Streptomyces coelicolor
85,Acinetobacter virus AB2,Acinetobacter baumannii
86,Bacillus virus Taylor,Bacillus pumilus BL8
87,Flavobacterium virus 23T,Flavobacterium psychrophilum
88,Streptomyces virus Danzina,Streptomyces venezuelae ATCC 10712
89,Enterococcus virus VD13,Enterococcus faecalis
90,Listeria virus LP064,Listeria monocytogenes
91,Escherichia virus O157tp3,Escherichia coli O157:H7
92,Escherichia virus O157tp6,Escherichia coli O157:H7
93,Pseudomonas virus KTN6,Pseudomonas aeruginosa PAO1
94,Acinetobacter virus R3177,Acinetobacter sp.
95,Paenibacillus virus Willow,Paenibacillus larvae
96,Paracoccus virus Shpa,Paracoccus
97,Escherichia virus APECc02,Escherichia coli
98,Pseudomonas virus CEBDP1,Pseudomonas aeruginosa PAO1
99,Escherichia virus Murica,Escherichia coli
100,Flavobacterium virus Fpv4,Flavobacterium psychrophilum
101,Escherichia virus JMPW2,Escherichia coli
102,Escherichia virus JMPW1,Escherichia coli
103,Arthrobacter virus Jasmine,Arthrobacter sp. ATCC 21022
104,Arthrobacter virus Galaxy,Arthrobacter sp. ATCC 21022
105,Pseudomonas virus SM1,Pseudomonas aeruginosa
106,Pectobacterium phage CBB,Pectobacterium carotovorum
107,Bacillus virus Mgbh1,Bacillus
108,Pseudomonas virus PMW,Pseudomonas putida
109,Pseudomonas virus pf16,Pseudomonas putida
110,Mycobacterium virus Skinnyp,Mycolicibacterium smegmatis MC2 155
111,Gordonia virus Attis,Gordonia terrae
112,Acinetobacter virus ME3,Acinetobacter baumannii
113,Pseudomonas virus VSW3,Pseudomonas
114,Gordonia virus Strosahl,Gordonia terrae
115,Rhodococcus virus Weasel,Rhodococcus erythropolis
116,Mycobacterium virus Tortellini,Mycolicibacterium smegmatis MC2 155
117,Strepomyces virus Rima,Streptomyces azureus
118,Propionibacterium virus Anatole,Propionibacterium freudenreichii
119,Propionibacterium virus B22,Propionibacterium freudenreichii
120,Propionibacterium virus B3,Propionibacterium freudenreichii
121,Propionibacterium virus Doucette,Propionibacterium freudenreichii
122,Propionibacterium virus E6,Propionibacterium freudenreichii
123,Propionibacterium virus G4,Propionibacterium freudenreichii
124,Campylobacter virus Los1,Campylobacter jejuni
125,Escherichia virus K1ind1,Escherichia coli
126,Escherichia virus K1ind2,Escherichia coli
127,Klebsiella virus IME260,Klebsiella pneumoniae
128,Klebsiella virus KpV80,Klebsiella pneumoniae
129,Mycobacterium virus Lukilu,Mycolicibacterium smegmatis MC2 155
130,Pseudomonas virus PA5,Pseudomonas aeruginosa
131,Pseudomonas virus PA10,Pseudomonas aeruginosa
132,Pseudomonas virus Zigelbrucke,Pseudomonas aeruginosa PAO1
133,Acinetobacter virus SH-Ab 15519,Acinetobacter baumannii
134,Escherichia virus EC1UPM,Escherichia coli
135,Pseudomonas virus PA26,Pseudomonas aeruginosa
136,Rhizobium virus RHEph4,Rhizobium etli GR56
137,Paenibacillus virus Shelly,Paenibacillus larvae
138,Vibrio virus SSP002,Vibrio vulnificus
139,Ralstonia virus RP12,Ralstonia solanacearum
140,Aquamicrobium virus P14,Aquamicrobium sp. H14
141,Providencia virus PR1,Providencia sp.
142,Acinetobacter phage vB_AbaP_AS12,Acinetobacter baumannii
143,Acinetobacter phage vB_AbaP_AS11,Acinetobacter baumannii
144,Vibrio virus pTD1,Vibrio parahaemolyticus
145,Serratia virus BF,Serratia marcescens
146,Geobacillus virus Tp84,Geobacillus stearothermophilus
147,Dinoroseobacter virus D5C,Dinoroseobacter shibae
148,Salmonella virus Si3,Salmonella enterica subsp. enterica serovar Infantis
149,Salmonella virus Mushroom,Salmonella sp.
150,Acinetobacter virus WCHABP12,Acinetobacter baumannii
151,Proteus phage VB_PmiS-Isfahan,Proteus mirabilis
152,Escherichia virus ECOO78,Escherichia coli O78
153,Sphingobium virus Lacusarx,Sphingobium sp. IP1
154,Staphylococcus virus SEP1,Staphylococcus epidermidis
155,Sinorhizobium virus M7,Sinorhizobium meliloti
156,Arthrobacter virus Brent,Arthrobacter sp. ATCC 21022
157,Arthrobacter virus Jawnski,Arthrobacter sp. ATCC 21022
158,Arthrobacter virus Martha,Arthrobacter sp. ATCC 21022
159,Arthrobacter virus Sonny,Arthrobacter sp. ATCC 21022
160,Pseudomonas virus LKO4,Pseudomonas aeruginosa
161,Escherichia virus PA28,Escherichia coli PA28
162,Escherichia virus ECD7,Escherichia coli
163,Escherichia virus V18,Escherichia coli
164,Arthrobacter virus Bennie,Arthrobacter sp. ATCC 21022
165,Arthrobacter virus DrRobert,Arthrobacter sp. ATCC 21022
166,Arthrobacter virus Glenn,Arthrobacter sp. ATCC 21022
167,Arthrobacter virus HunterDalle,Arthrobacter sp. ATCC 21022
168,Arthrobacter virus Joann,Arthrobacter sp. ATCC 21022
169,Arthrobacter virus Korra,Arthrobacter sp. ATCC 21022
170,Arthrobacter virus Preamble,Arthrobacter sp. ATCC 21022
171,Arthrobacter virus Pumancara,Arthrobacter sp. ATCC 21022
172,Arthrobacter virus Wayne,Arthrobacter sp. ATCC 21022
173,Arthrobacter virus Laroye,Arthrobacter sp. ATCC 21022
174,Arthrobacter virus Circum,Arthrobacter sp. ATCC 21022
175,Arthrobacter virus Amigo,Arthrobacter sp. ATCC 21022
176,Gordonia virus Katyusha,Gordonia terrae
177,Arthrobacter virus Captnmurica,Arthrobacter sp. ATCC 21022
178,Arthrobacter virus Gordon,Arthrobacter sp. ATCC 21022
179,Pseudomonas virus PaMx25,Pseudomonas aeruginosa
180,Propionibacterium virus Keiki,Cutibacterium acnes
181,Propionibacterium virus PHL082M03,Cutibacterium acnes
182,Propionibacterium virus PHL117M01,Cutibacterium acnes
183,Propionibacterium virus PHL151N00,Cutibacterium acnes
184,Roseobacter virus RDJL2,Roseobacter denitrificans
185,Enterococcus virus IMEEF1,Enterococcus faecalis
186,Enterococcus virus SAP6,Enterococcus faecalis
187,Arthrobacter virus Tank,Arthrobacter sp. ATCC 21022
188,Tsukamurella virus TIN4,Tsukamurella inchonensis
189,Rhodobacter virus RcSpartan,Rhodobacter capsulatus YW1
